,index,Category,Sub-Category,Product Name,Product ID
42,2558,Furniture,Bookcases,O'Sullivan Living Dimensions 3-Shelf Bookcases,FUR-BO-10004357-0
43,4110,Furniture,Bookcases,Rush Hierlooms Collection Rich Wood Bookcases,FUR-BO-10004360-0
44,783,Furniture,Bookcases,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",FUR-BO-10004409-0
45,1247,Furniture,Bookcases,Bestar Classic Bookcase,FUR-BO-10004467-0
46,4383,Furniture,Bookcases,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,FUR-BO-10004690-0
47,213,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,FUR-BO-10004695-0
48,292,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",FUR-BO-10004709-0
49,27,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",FUR-BO-10004834-0
50,424,Furniture,Chairs,Hon Multipurpose Stacking Arm Chairs,FUR-CH-10000015-0
51,1903,Furniture,Chairs,Global Comet Stacking Armless Chair,FUR-CH-10000155-0
52,456,Furniture,Chairs,"Global Geo Office Task Chair, Gray",FUR-CH-10000225-0
53,4168,Furniture,Chairs,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,FUR-CH-10000229-0
54,1021,Furniture,Chairs,Global Comet Stacking Arm Chair,FUR-CH-10000309-0
55,2940,Furniture,Chairs,Global Highback Leather Tilter in Burgundy,FUR-CH-10000422-0
56,1,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",FUR-CH-10000454-0
57,72,Furniture,Chairs,High-Back Leather Manager's Chair,FUR-CH-10000513-0
58,2216,Furniture,Chairs,"Metal Folding Chairs, Beige, 4/Carton",FUR-CH-10000553-0
59,531,Furniture,Chairs,Safco Contoured Stacking Chairs,FUR-CH-10000595-0
60,829,Furniture,Chairs,"Global Airflow Leather Mesh Back Chair, Black",FUR-CH-10000665-0
61,4642,Furniture,Chairs,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,FUR-CH-10000749-0
62,362,Furniture,Chairs,Global Ergonomic Managers Chair,FUR-CH-10000785-0
63,1468,Furniture,Chairs,Global Executive Mid-Back Manager's Chair,FUR-CH-10000847-0
64,85,Furniture,Chairs,Novimex Swivel Fabric Task Chair,FUR-CH-10000863-0
65,1841,Furniture,Chairs,Hon Olson Stacker Stools,FUR-CH-10000988-0
66,66,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",FUR-CH-10001146-0
67,128,Furniture,Chairs,"Global Task Chair, Black",FUR-CH-10001146-1
68,2473,Furniture,Chairs,Global Deluxe High-Back Office Chair in Storm,FUR-CH-10001190-0
69,502,Furniture,Chairs,Global Troy Executive Leather Low-Back Tilter,FUR-CH-10001215-0
70,1177,Furniture,Chairs,Harbour Creations Steel Folding Chair,FUR-CH-10001270-0
71,819,Furniture,Chairs,Global Leather Executive Chair,FUR-CH-10001394-0
72,635,Furniture,Chairs,Office Star - Mesh Screen back chair with Vinyl seat,FUR-CH-10001482-0
73,5628,Furniture,Chairs,Hon Comfortask Task/Swivel Chairs,FUR-CH-10001545-0
74,1249,Furniture,Chairs,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,FUR-CH-10001708-0
75,2366,Furniture,Chairs,"Global Leather & Oak Executive Chair, Burgundy",FUR-CH-10001714-0
76,2976,Furniture,Chairs,"Safco Chair Connectors, 6/Carton",FUR-CH-10001797-0
77,4917,Furniture,Chairs,Hon Every-Day Chair Series Swivel Task Chairs,FUR-CH-10001802-0
78,1791,Furniture,Chairs,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,FUR-CH-10001854-0
79,294,Furniture,Chairs,Global Deluxe Office Fabric Chairs,FUR-CH-10001891-0
80,1274,Furniture,Chairs,Office Star Flex Back Scooter Chair with White Frame,FUR-CH-10001973-0
81,2632,Furniture,Chairs,SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair,FUR-CH-10002017-0
82,551,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,FUR-CH-10002024-0
83,5484,Furniture,Chairs,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",FUR-CH-10002044-0
84,6844,Furniture,Chairs,Hon Olson Stacker Chairs,FUR-CH-10002073-0
85,2181,Furniture,Chairs,Hon Mobius Operator's Chair,FUR-CH-10002084-0
86,1158,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs,FUR-CH-10002126-0
87,1045,Furniture,Chairs,"Global Stack Chair without Arms, Black",FUR-CH-10002304-0
88,9185,Furniture,Chairs,Global Enterprise Series Seating Low-Back Swivel/Tilt Chairs,FUR-CH-10002317-0
89,3043,Furniture,Chairs,Hon Pagoda Stacking Chairs,FUR-CH-10002320-0
90,457,Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,FUR-CH-10002331-0
91,777,Furniture,Chairs,Hon GuestStacker Chair,FUR-CH-10002335-0
92,444,Furniture,Chairs,Office Star - Ergonomically Designed Knee Chair,FUR-CH-10002372-0
93,2432,Furniture,Chairs,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",FUR-CH-10002439-0
94,317,Furniture,Chairs,DMI Arturo Collection Mission-style Design Wood Chair,FUR-CH-10002602-0
95,539,Furniture,Chairs,"Situations Contoured Folding Chairs, 4/Set",FUR-CH-10002647-0
96,2749,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Squared Back",FUR-CH-10002758-0
97,23,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",FUR-CH-10002774-0
98,9319,Furniture,Chairs,Office Star - Task Chair with Contemporary Loop Arms,FUR-CH-10002780-0
99,1081,Furniture,Chairs,"Global High-Back Leather Tilter, Burgundy",FUR-CH-10002880-0
100,1359,Furniture,Chairs,"Leather Task Chair, Black",FUR-CH-10002961-0
101,249,Furniture,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",FUR-CH-10002965-0
102,52,Furniture,Chairs,"Global Leather Task Chair, Black",FUR-CH-10003061-0
103,791,Furniture,Chairs,Office Star - Contemporary Task Swivel Chair,FUR-CH-10003199-0
104,3809,Furniture,Chairs,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",FUR-CH-10003298-0
105,328,Furniture,Chairs,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,FUR-CH-10003312-0
106,526,Furniture,Chairs,Global Commerce Series High-Back Swivel/Tilt Chairs,FUR-CH-10003379-0
107,439,Furniture,Chairs,Global Deluxe Steno Chair,FUR-CH-10003396-0
108,3383,Furniture,Chairs,"Global Armless Task Chair, Royal Blue",FUR-CH-10003535-0
109,3800,Furniture,Chairs,SAFCO Folding Chair Trolley,FUR-CH-10003606-0
110,769,Furniture,Chairs,Hon 4070 Series Pagoda Round Back Stacking Chairs,FUR-CH-10003746-0
111,2671,Furniture,Chairs,Global Italian Leather Office Chair,FUR-CH-10003761-0
112,1977,Furniture,Chairs,"Global Wood Trimmed Manager's Task Chair, Khaki",FUR-CH-10003774-0
113,173,Furniture,Chairs,"Global Value Steno Chair, Gray",FUR-CH-10003817-0
114,2051,Furniture,Chairs,Novimex Fabric Task Chair,FUR-CH-10003833-0
115,1310,Furniture,Chairs,Hon Valutask Swivel Chairs,FUR-CH-10003846-0
116,413,Furniture,Chairs,Novimex High-Tech Fabric Mesh Task Chair,FUR-CH-10003956-0
117,57,Furniture,Chairs,Novimex Turbo Task Chair,FUR-CH-10003968-0
118,1190,Furniture,Chairs,GuestStacker Chair with Chrome Finish Legs,FUR-CH-10003973-0
119,1920,Furniture,Chairs,Global Commerce Series Low-Back Swivel/Tilt Chairs,FUR-CH-10003981-0
120,124,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,FUR-CH-10004063-0
121,310,Furniture,Chairs,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,FUR-CH-10004086-0
122,39,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",FUR-CH-10004218-0
123,167,Furniture,Chairs,SAFCO Arco Folding Chair,FUR-CH-10004287-0
124,1446,Furniture,Chairs,Global Super Steno Chair,FUR-CH-10004289-0
125,229,Furniture,Chairs,"Global Push Button Manager's Chair, Indigo",FUR-CH-10004477-0
126,3145,Furniture,Chairs,"Global Leather and Oak Executive Chair, Black",FUR-CH-10004495-0
127,1198,Furniture,Chairs,Global Chrome Stack Chair,FUR-CH-10004540-0
128,5027,Furniture,Chairs,Office Star Flex Back Scooter Chair with Aluminum Finish Frame,FUR-CH-10004626-0
129,787,Furniture,Chairs,"Lifetime Advantage Folding Chairs, 4/Carton",FUR-CH-10004675-0
130,177,Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton",FUR-CH-10004698-0
131,1822,Furniture,Chairs,"Global Stack Chair with Arms, Black",FUR-CH-10004754-0
132,622,Furniture,Chairs,"Global Manager's Adjustable Task Chair, Storm",FUR-CH-10004853-0
133,228,Furniture,Chairs,Global Low Back Tilter Chair,FUR-CH-10004860-0
134,2951,Furniture,Chairs,Harbour Creations 67200 Series Stacking Chairs,FUR-CH-10004875-0
135,417,Furniture,Chairs,Bevis Steel Folding Chairs,FUR-CH-10004886-0
136,3756,Furniture,Chairs,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,FUR-CH-10004983-0
137,569,Furniture,Chairs,Hon Every-Day Series Multi-Task Chairs,FUR-CH-10004997-0
138,617,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",FUR-FU-10000010-0
139,364,Furniture,Furnishings,Eldon Wave Desk Accessories,FUR-FU-10000023-0
140,499,Furniture,Furnishings,Deflect-O Glasstique Clear Desk Accessories,FUR-FU-10000073-0
141,1234,Furniture,Furnishings,24-Hour Round Wall Clock,FUR-FU-10000076-0
142,222,Furniture,Furnishings,"Executive Impressions 14"" Two-Color Numerals Wall Clock",FUR-FU-10000087-0
143,4318,Furniture,Furnishings,DAX Wood Document Frame.,FUR-FU-10000175-0
144,3336,Furniture,Furnishings,Tenex Chairmats For Use with Hard Floors,FUR-FU-10000193-0
145,446,Furniture,Furnishings,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",FUR-FU-10000206-0
146,626,Furniture,Furnishings,"Master Caster Door Stop, Brown",FUR-FU-10000221-0
147,723,Furniture,Furnishings,"Seth Thomas 16"" Steel Case Clock",FUR-FU-10000222-0
148,440,Furniture,Furnishings,Aluminum Document Frame,FUR-FU-10000246-0
149,76,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",FUR-FU-10000260-0
150,6936,Furniture,Furnishings,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,FUR-FU-10000277-0
151,1050,Furniture,Furnishings,Eldon Antistatic Chair Mats for Low to Medium Pile Carpets,FUR-FU-10000293-0
152,2952,Furniture,Furnishings,"Tenex V2T-RE Standard Weight Series Chair Mat, 45"" x 53"", Lip 25"" x 12""",FUR-FU-10000305-0
153,2272,Furniture,Furnishings,Deflect-o Glass Clear Studded Chair Mats,FUR-FU-10000308-0
154,3380,Furniture,Furnishings,OIC Stacking Trays,FUR-FU-10000320-0
155,65,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,FUR-FU-10000397-0
156,2852,Furniture,Furnishings,"GE 4 Foot Flourescent Tube, 40 Watt",FUR-FU-10000409-0
157,532,Furniture,Furnishings,Tenex Chairmats For Use With Carpeted Floors,FUR-FU-10000448-0
158,146,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",FUR-FU-10000521-0
159,2997,Furniture,Furnishings,Stacking Trays by OIC,FUR-FU-10000550-0
160,238,Furniture,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,FUR-FU-10000576-0
161,96,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,FUR-FU-10000629-0
162,3361,Furniture,Furnishings,"Executive Impressions 10"" Spectator Wall Clock",FUR-FU-10000672-0
163,4630,Furniture,Furnishings,"DAX Cubicle Frames, 8-1/2 x 11",FUR-FU-10000719-0
164,545,Furniture,Furnishings,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",FUR-FU-10000723-0
165,640,Furniture,Furnishings,Eldon 200 Class Desk Accessories,FUR-FU-10000732-0
166,5811,Furniture,Furnishings,Tenex B1-RE Series Chair Mats for Low Pile Carpets,FUR-FU-10000747-0
167,2985,Furniture,Furnishings,Eldon Expressions Mahogany Wood Desk Collection,FUR-FU-10000755-0
168,1680,Furniture,Furnishings,DAX Natural Wood-Tone Poster Frame,FUR-FU-10000758-0
169,2894,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Smoke",FUR-FU-10000771-0
170,804,Furniture,Furnishings,"Eldon Stackable Tray, Side-Load, Legal, Smoke",FUR-FU-10000794-0
171,6673,Furniture,Furnishings,Tensor Brushed Steel Torchiere Floor Lamp,FUR-FU-10000820-0
172,866,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",FUR-FU-10000965-0
173,5112,Furniture,Furnishings,"Eldon Imàge Series Desk Accessories, Clear",FUR-FU-10001025-0
174,1909,Furniture,Furnishings,"DAX Charcoal/Nickel-Tone Document Frame, 5 x 7",FUR-FU-10001037-0
175,6813,Furniture,Furnishings,Tensor Track Tree Floor Lamp,FUR-FU-10001057-0
176,3959,Furniture,Furnishings,3M Polarizing Light Filter Sleeves,FUR-FU-10001085-0
177,970,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,FUR-FU-10001095-0
178,2811,Furniture,Furnishings,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",FUR-FU-10001185-0
179,1809,Furniture,Furnishings,DAX Cubicle Frames - 8x10,FUR-FU-10001196-0
180,4009,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Brentwood Wall Clock",FUR-FU-10001215-0
181,510,Furniture,Furnishings,Executive Impressions Supervisor Wall Clock,FUR-FU-10001290-0
182,8043,Furniture,Furnishings,"Executive Impressions 16-1/2"" Circular Wall Clock",FUR-FU-10001379-0
183,884,Furniture,Furnishings,Dax Clear Box Frame,FUR-FU-10001424-0
184,2329,Furniture,Furnishings,Tenex Antistatic Computer Chair Mats,FUR-FU-10001468-0
185,2204,Furniture,Furnishings,"Eldon Executive Woodline II Desk Accessories, Mahogany",FUR-FU-10001473-0
186,1459,Furniture,Furnishings,DAX Wood Document Frame,FUR-FU-10001473-1
187,579,Furniture,Furnishings,"Contract Clock, 14"", Brown",FUR-FU-10001475-0
188,5,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",FUR-FU-10001487-0
189,1601,Furniture,Furnishings,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",FUR-FU-10001488-0
190,2869,Furniture,Furnishings,Dana Swing-Arm Lamps,FUR-FU-10001546-0
191,313,Furniture,Furnishings,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",FUR-FU-10001588-0
192,1765,Furniture,Furnishings,Advantus Panel Wall Certificate Holder - 8.5x11,FUR-FU-10001591-0
193,1010,Furniture,Furnishings,"Eldon Delta Triangular Chair Mat, 52"" x 58"", Clear",FUR-FU-10001602-0
194,1864,Furniture,Furnishings,"Executive Impressions 8-1/2"" Career Panel/Partition Cubicle Clock",FUR-FU-10001617-0
195,51,Furniture,Furnishings,Longer-Life Soft White Bulbs,FUR-FU-10001706-0
196,3659,Furniture,Furnishings,Acrylic Self-Standing Desk Frames,FUR-FU-10001731-0
197,311,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",FUR-FU-10001756-0
198,2583,Furniture,Furnishings,Eldon Image Series Black Desk Accessories,FUR-FU-10001847-0
199,1151,Furniture,Furnishings,"Eldon Regeneration Recycled Desk Accessories, Smoke",FUR-FU-10001852-0
200,301,Furniture,Furnishings,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",FUR-FU-10001861-0
201,1217,Furniture,Furnishings,"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",FUR-FU-10001867-0
202,2708,Furniture,Furnishings,"Computer Room Manger, 14""",FUR-FU-10001876-0
203,1885,Furniture,Furnishings,Ultra Door Pull Handle,FUR-FU-10001889-0
204,309,Furniture,Furnishings,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,FUR-FU-10001918-0
205,110,Furniture,Furnishings,Magnifier Swing Arm Lamp,FUR-FU-10001934-0
206,387,Furniture,Furnishings,3M Hangers With Command Adhesive,FUR-FU-10001935-0
207,952,Furniture,Furnishings,Staple-based wall hangings,FUR-FU-10001940-0
208,325,Furniture,Furnishings,Telescoping Adjustable Floor Lamp,FUR-FU-10001967-0
209,597,Furniture,Furnishings,Dana Halogen Swing-Arm Architect Lamp,FUR-FU-10001979-0
210,1843,Furniture,Furnishings,"Dana Fluorescent Magnifying Lamp, White, 36""",FUR-FU-10001986-0
211,8211,Furniture,Furnishings,"Executive Impressions 14"" Contract Wall Clock with Quartz Movement",FUR-FU-10002030-0
212,2587,Furniture,Furnishings,"Executive Impressions 14""",FUR-FU-10002045-0
213,1718,Furniture,Furnishings,Nu-Dell Float Frame 11 x 14 1/2,FUR-FU-10002088-0
214,2470,Furniture,Furnishings,Eldon Pizzaz Desk Accessories,FUR-FU-10002107-0
215,4562,Furniture,Furnishings,"Master Caster Door Stop, Large Brown",FUR-FU-10002111-0
216,2925,Furniture,Furnishings,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",FUR-FU-10002116-0
217,119,Furniture,Furnishings,Artistic Insta-Plaque,FUR-FU-10002157-0
218,1016,Furniture,Furnishings,G.E. Halogen Desk Lamp Bulbs,FUR-FU-10002191-0
219,6798,Furniture,Furnishings,Nu-Dell EZ-Mount Plastic Wall Frames,FUR-FU-10002240-0
220,717,Furniture,Furnishings,"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",FUR-FU-10002253-0
221,1194,Furniture,Furnishings,Ultra Door Push Plate,FUR-FU-10002268-0
222,2368,Furniture,Furnishings,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",FUR-FU-10002298-0
223,2136,Furniture,Furnishings,"Eldon Expressions Wood Desk Accessories, Oak",FUR-FU-10002364-0
224,3071,Furniture,Furnishings,Eldon Econocleat Chair Mats for Low Pile Carpets,FUR-FU-10002379-0
225,3883,Furniture,Furnishings,"DAX Copper Panel Document Frame, 5 x 7 Size",FUR-FU-10002396-0
226,2965,Furniture,Furnishings,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",FUR-FU-10002445-0
227,1527,Furniture,Furnishings,"Master Caster Door Stop, Large Neon Orange",FUR-FU-10002456-0
228,2341,Furniture,Furnishings,Nu-Dell Executive Frame,FUR-FU-10002501-0
229,242,Furniture,Furnishings,Eldon 100 Class Desk Accessories,FUR-FU-10002505-0
230,7672,Furniture,Furnishings,"Tensor ""Hersey Kiss"" Styled Floor Lamp",FUR-FU-10002506-0
231,4588,Furniture,Furnishings,Document Clip Frames,FUR-FU-10002508-0
232,1819,Furniture,Furnishings,"Electrix Incandescent Magnifying Lamp, Black",FUR-FU-10002553-0
233,1303,Furniture,Furnishings,"Westinghouse Floor Lamp with Metal Mesh Shade, Black",FUR-FU-10002554-0
234,775,Furniture,Furnishings,"C-Line Magnetic Cubicle Keepers, Clear Polypropylene",FUR-FU-10002597-0
235,304,Furniture,Furnishings,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,FUR-FU-10002671-0
236,2944,Furniture,Furnishings,"Executive Impressions 13-1/2"" Indoor/Outdoor Wall Clock",FUR-FU-10002685-0
237,3431,Furniture,Furnishings,"Tenex Traditional Chairmats for Hard Floors, Average Lip, 36"" x 48""",FUR-FU-10002703-0
238,669,Furniture,Furnishings,12-1/2 Diameter Round Wall Clock,FUR-FU-10002759-0
239,4813,Furniture,Furnishings,"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",FUR-FU-10002813-0
240,6281,Furniture,Furnishings,Ultra Commercial Grade Dual Valve Door Closer,FUR-FU-10002874-0
241,1826,Furniture,Furnishings,"Seth Thomas 14"" Day/Date Wall Clock",FUR-FU-10002878-0
242,998,Furniture,Furnishings,Magna Visual Magnetic Picture Hangers,FUR-FU-10002885-0
243,295,Furniture,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,FUR-FU-10002918-0
244,1620,Furniture,Furnishings,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",FUR-FU-10002937-0
245,204,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",FUR-FU-10002960-0
246,3333,Furniture,Furnishings,"Master Caster Door Stop, Gray",FUR-FU-10002963-0
247,3693,Furniture,Furnishings,"Eldon Regeneration Recycled Desk Accessories, Black",FUR-FU-10003026-0
248,552,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Grantwood Wall Clock",FUR-FU-10003039-0
249,6581,Furniture,Furnishings,"Linden 12"" Wall Clock With Oak Frame",FUR-FU-10003095-0
250,668,Furniture,Furnishings,"Master Giant Foot Doorstop, Safety Yellow",FUR-FU-10003096-0
251,2053,Furniture,Furnishings,"Master Big Foot Doorstop, Beige",FUR-FU-10003142-0
252,5438,Furniture,Furnishings,Luxo Adjustable Task Clamp Lamp,FUR-FU-10003192-0
253,78,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",FUR-FU-10003194-0
254,3050,Furniture,Furnishings,36X48 HARDFLOOR CHAIRMAT,FUR-FU-10003247-0
255,1236,Furniture,Furnishings,Eldon Radial Chair Mat for Low to Medium Pile Carpets,FUR-FU-10003268-0
256,272,Furniture,Furnishings,Regeneration Desk Collection,FUR-FU-10003274-0
257,425,Furniture,Furnishings,Coloredge Poster Frame,FUR-FU-10003347-0
258,7269,Furniture,Furnishings,Electrix Fluorescent Magnifier Lamps & Weighted Base,FUR-FU-10003374-0
259,702,Furniture,Furnishings,"Tenex ""The Solids"" Textured Chair Mats",FUR-FU-10003394-0
260,4581,Furniture,Furnishings,Nu-Dell Oak Frame,FUR-FU-10003424-0
261,3120,Furniture,Furnishings,"Seth Thomas 8 1/2"" Cubicle Clock",FUR-FU-10003464-0
262,6299,Furniture,Furnishings,Contemporary Borderless Frame,FUR-FU-10003489-0
263,1256,Furniture,Furnishings,Howard Miller Distant Time Traveler Alarm Clock,FUR-FU-10003535-0
264,678,Furniture,Furnishings,"Howard Miller 13-1/2"" Diameter Rosebrook Wall Clock",FUR-FU-10003553-0
265,750,Furniture,Furnishings,Nu-Dell Leatherette Frames,FUR-FU-10003577-0
266,947,Furniture,Furnishings,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",FUR-FU-10003601-0
267,2127,Furniture,Furnishings,"DataProducts Ampli Magnifier Task Lamp, Black,",FUR-FU-10003623-0
