,Order ID,Ship Mode,Customer ID,Product ID,Discount,Quantity,Sales,Profit,last_ordered,Returned
28,CA-2014-101147,First Class,MC-17575,OFF-AP-10004249-0,0.8,1,2.394,-6.3441,3735,No
29,CA-2014-101175,Standard Class,DM-12955,OFF-ST-10004950-0,0.2,6,100.704,-1.2588,3728,No
30,CA-2014-101266,Second Class,MM-17920,OFF-PA-10002986-0,0.0,2,13.36,6.4128,3832,No
31,CA-2014-101364,Standard Class,TW-21025,OFF-BI-10003984-0,0.2,13,296.712,100.1403,3715,No
32,CA-2014-101392,Standard Class,AS-10630,OFF-ST-10000532-0,0.0,7,269.36,70.0336,3730,No
33,CA-2014-101427,Standard Class,AY-10555,OFF-AR-10002257-0,0.2,3,8.016,1.1022,3711,No
34,CA-2014-101462,Standard Class,BP-11230,FUR-FU-10000409-0,0.0,4,59.92,27.5632,3961,No
35,CA-2014-101476,First Class,SD-20485,TEC-MA-10000029-0,0.0,1,69.99,30.0957,3816,No
36,CA-2014-101560,Second Class,CS-12250,FUR-FU-10003773-0,0.0,5,397.6,43.736,3739,No
37,CA-2014-101560,Second Class,CS-12250,OFF-AR-10004757-0,0.0,4,13.12,4.3296,3739,No
38,CA-2014-101560,Second Class,CS-12250,OFF-BI-10000309-0,0.0,3,45.66,22.3734,3739,No
39,CA-2014-101560,Second Class,CS-12250,OFF-PA-10001363-0,0.0,7,85.96,40.4012,3739,No
40,CA-2014-101602,First Class,MC-18100,FUR-CH-10004675-0,0.3,5,763.28,-21.808,3722,No
41,CA-2014-101602,First Class,MC-18100,TEC-PH-10000169-0,0.2,3,40.68,-9.153,3722,No
42,CA-2014-101770,Standard Class,KB-16240,OFF-BI-10001097-0,0.7,1,1.869,-1.3083,3981,No
43,CA-2014-101833,Second Class,FG-14260,OFF-PA-10003591-0,0.0,3,34.44,17.22,3750,No
44,CA-2014-101931,First Class,TS-21370,FUR-BO-10001337-0,0.15,6,616.998,-36.294,3770,No
45,CA-2014-101931,First Class,TS-21370,OFF-BI-10004140-0,0.2,2,7.184,2.245,3770,No
46,CA-2014-101931,First Class,TS-21370,OFF-ST-10003442-0,0.0,5,141.4,38.178,3770,No
47,CA-2014-101931,First Class,TS-21370,OFF-SU-10000646-0,0.0,2,480.74,14.4222,3770,No
48,CA-2014-101931,First Class,TS-21370,OFF-SU-10002301-0,0.0,2,6.28,0.0628,3770,No
49,CA-2014-102008,Standard Class,RA-19915,OFF-PA-10004092-0,0.0,1,48.94,24.47,3798,No
50,CA-2014-102085,Standard Class,JD-16015,OFF-LA-10002475-0,0.0,4,29.24,13.7428,3794,No
51,CA-2014-102274,Standard Class,DH-13075,OFF-AR-10002833-0,0.0,3,5.46,1.4742,3746,No
52,CA-2014-102274,Standard Class,DH-13075,OFF-PA-10004359-0,0.0,6,629.1,301.968,3746,No
53,CA-2014-102274,Standard Class,DH-13075,OFF-ST-10001511-0,0.0,3,193.95,9.6975,3746,No
54,CA-2014-102274,Standard Class,DH-13075,TEC-PH-10002923-0,0.0,1,36.99,9.9873,3746,No
55,CA-2014-102295,Second Class,EH-13990,FUR-CH-10001714-0,0.2,1,120.712,-18.1068,3743,No
56,CA-2014-102330,Standard Class,AI-10855,OFF-LA-10003923-0,0.0,6,88.8,44.4,3708,No
57,CA-2014-102330,Standard Class,AI-10855,TEC-PH-10001051-0,0.2,4,319.968,35.9964,3708,No
58,CA-2014-102645,Standard Class,IM-15055,OFF-PA-10001804-0,0.0,6,40.08,19.2384,4048,No
59,CA-2014-102652,Standard Class,AY-10555,FUR-FU-10000747-0,0.0,2,91.96,15.6332,3975,Yes
60,CA-2014-102652,Standard Class,AY-10555,FUR-FU-10001918-0,0.0,7,33.11,12.9129,3975,Yes
61,CA-2014-102652,Standard Class,AY-10555,OFF-PA-10001977-0,0.0,1,55.48,26.6304,3975,Yes
62,CA-2014-102652,Standard Class,AY-10555,OFF-PA-10003309-0,0.0,3,19.44,9.3312,3975,Yes
63,CA-2014-102673,Standard Class,KH-16630,OFF-AR-10000634-0,0.2,3,10.272,0.8988,3766,No
64,CA-2014-102673,Standard Class,KH-16630,OFF-FA-10003021-0,0.2,5,7.52,1.41,3766,No
65,CA-2014-102673,Standard Class,KH-16630,OFF-LA-10001771-0,0.2,12,47.808,15.5376,3766,No
66,CA-2014-102673,Standard Class,KH-16630,TEC-PH-10004434-0,0.2,9,978.84,110.1195,3766,No
67,CA-2014-102869,Second Class,LC-17140,FUR-FU-10002456-0,0.2,3,17.472,5.0232,3819,No
68,CA-2014-102869,Second Class,LC-17140,OFF-PA-10000788-0,0.2,3,15.552,5.4432,3819,No
69,CA-2014-102869,Second Class,LC-17140,TEC-AC-10002134-0,0.2,6,64.704,-4.8528,3819,No
70,CA-2014-102869,Second Class,LC-17140,TEC-PH-10002549-0,0.4,1,135.516,-31.6204,3819,No
71,CA-2014-102988,Second Class,GM-14695,OFF-AR-10000127-0,0.0,7,22.96,6.6584,3976,No
72,CA-2014-102988,Second Class,GM-14695,OFF-AR-10004757-0,0.0,7,22.96,7.5768,3976,No
73,CA-2014-102988,Second Class,GM-14695,OFF-PA-10003349-0,0.0,2,12.96,6.3504,3976,No
74,CA-2014-102988,Second Class,GM-14695,OFF-SU-10002881-0,0.0,5,4164.05,83.281,3976,No
75,CA-2014-102988,Second Class,GM-14695,TEC-PH-10001615-0,0.0,1,28.99,8.4071,3976,No
76,CA-2014-103058,First Class,AG-10270,TEC-AC-10001314-0,0.0,2,99.98,7.9984,3867,No
77,CA-2014-103086,Second Class,EB-14170,FUR-FU-10004586-0,0.6,2,5.312,-1.5936,3781,No
78,CA-2014-103100,First Class,AB-10105,OFF-BI-10004600-0,0.0,3,1103.97,496.7865,3717,No
79,CA-2014-103100,First Class,AB-10105,OFF-LA-10003720-0,0.0,1,3.69,1.7343,3717,No
80,CA-2014-103191,Standard Class,VG-21805,OFF-ST-10002574-0,0.2,3,331.536,-82.884,3806,No
81,CA-2014-103219,Standard Class,BF-11215,FUR-FU-10004091-0,0.0,9,56.52,21.4776,3758,No
82,CA-2014-103310,Standard Class,GM-14680,FUR-CH-10002320-0,0.2,1,256.784,32.098,3941,No
83,CA-2014-103310,Standard Class,GM-14680,OFF-PA-10004353-0,0.0,2,39.96,19.1808,3941,No
84,CA-2014-103310,Standard Class,GM-14680,OFF-SU-10004737-0,0.0,6,41.04,11.0808,3941,No
85,CA-2014-103310,Standard Class,GM-14680,TEC-PH-10001817-0,0.2,5,1432.0,125.3,3941,No
86,CA-2014-103317,First Class,DM-13525,FUR-FU-10001591-0,0.2,2,19.52,5.368,3885,No
87,CA-2014-103317,First Class,DM-13525,FUR-FU-10003192-0,0.2,3,213.216,15.9912,3885,No
88,CA-2014-103317,First Class,DM-13525,OFF-BI-10001787-0,0.7,5,9.81,-6.867,3885,No
89,CA-2014-103331,Standard Class,KB-16315,FUR-FU-10001731-0,0.0,4,10.68,4.0584,3833,No
90,CA-2014-103331,Standard Class,KB-16315,OFF-PA-10002160-0,0.0,3,17.34,8.4966,3833,No
91,CA-2014-103331,Standard Class,KB-16315,OFF-PA-10002659-0,0.0,1,3.38,1.5548,3833,No
92,CA-2014-103366,First Class,EH-13990,TEC-AC-10003628-0,0.0,5,149.95,65.978,4056,No
93,CA-2014-103373,Standard Class,BS-11755,TEC-PH-10002885-0,0.4,2,779.796,-168.9558,3933,Yes
94,CA-2014-103401,Standard Class,GR-14560,OFF-PA-10003309-0,0.0,2,12.96,6.2208,3746,No
95,CA-2014-103429,First Class,LW-16825,OFF-AP-10001005-0,0.0,3,235.95,77.8635,3921,No
96,CA-2014-103429,First Class,LW-16825,OFF-BI-10004233-0,0.2,2,25.584,8.9544,3921,No
97,CA-2014-103429,First Class,LW-16825,OFF-PA-10001712-0,0.0,4,39.96,17.982,3921,No
98,CA-2014-103429,First Class,LW-16825,TEC-PH-10003505-0,0.0,5,464.0,134.56,3921,No
99,CA-2014-103492,Standard Class,CM-12715,OFF-BI-10004140-0,0.8,1,0.898,-1.5715,3788,No
100,CA-2014-103492,Standard Class,CM-12715,OFF-BI-10004817-0,0.8,5,11.98,-19.168,3788,No
101,CA-2014-103492,Standard Class,CM-12715,TEC-PH-10001128-0,0.2,6,719.952,71.9952,3788,No
102,CA-2014-103492,Standard Class,CM-12715,TEC-PH-10004667-0,0.2,7,755.944,66.1451,3788,No
103,CA-2014-103527,Second Class,CC-12220,OFF-PA-10001622-0,0.2,3,10.896,3.405,3819,No
104,CA-2014-103590,Standard Class,JL-15505,OFF-EN-10004007-0,0.0,4,62.28,29.2716,3737,No
105,CA-2014-103660,Standard Class,MW-18220,TEC-PH-10000895-0,0.2,7,1007.944,75.5958,3834,No
106,CA-2014-103702,Standard Class,AF-10885,OFF-BI-10002429-0,0.7,7,63.924,-46.8776,3816,No
107,CA-2014-103744,Standard Class,MG-17875,OFF-BI-10000320-0,0.8,3,4.428,-6.8634,4017,Yes
108,CA-2014-103744,Standard Class,MG-17875,OFF-LA-10004425-0,0.2,3,6.936,2.3409,4017,Yes
109,CA-2014-103800,Standard Class,DP-13000,OFF-PA-10000174-0,0.2,2,16.448,5.5512,4068,No
110,CA-2014-103807,Standard Class,EM-13825,OFF-PA-10002195-0,0.0,3,15.24,7.1628,3735,No
111,CA-2014-103807,Standard Class,EM-13825,TEC-AC-10000199-0,0.0,1,5.95,0.833,3735,No
112,CA-2014-103849,Standard Class,PG-18895,FUR-FU-10000723-0,0.6,4,66.112,-84.2928,3940,No
113,CA-2014-103849,Standard Class,PG-18895,TEC-AC-10001465-0,0.2,2,58.112,7.264,3940,No
114,CA-2014-103849,Standard Class,PG-18895,TEC-PH-10002597-0,0.2,1,100.792,6.2995,3940,No
115,CA-2014-103940,Standard Class,BN-11515,FUR-FU-10004671-0,0.0,2,35.34,13.4292,3811,Yes
116,CA-2014-103940,Standard Class,BN-11515,OFF-BI-10002735-0,0.2,5,137.24,46.3185,3811,Yes
117,CA-2014-103940,Standard Class,BN-11515,OFF-ST-10000943-0,0.0,3,57.93,16.2204,3811,Yes
118,CA-2014-103940,Standard Class,BN-11515,OFF-ST-10004963-0,0.0,2,30.28,1.2112,3811,Yes
119,CA-2014-103989,First Class,MC-17605,FUR-FU-10002508-0,0.2,3,20.016,5.5044,3993,No
120,CA-2014-103989,First Class,MC-17605,FUR-FU-10003981-0,0.2,3,4.992,1.3728,3993,No
121,CA-2014-103989,First Class,MC-17605,OFF-BI-10001196-0,0.7,5,33.57,-25.737,3993,No
122,CA-2014-103989,First Class,MC-17605,OFF-LA-10000443-0,0.2,4,11.808,3.9852,3993,No
123,CA-2014-103989,First Class,MC-17605,OFF-ST-10000918-0,0.2,3,26.16,1.962,3993,No
124,CA-2014-103989,First Class,MC-17605,TEC-AC-10002647-0,0.2,2,170.24,53.2,3993,No
125,CA-2014-103989,First Class,MC-17605,TEC-PH-10004667-0,0.2,3,323.976,28.3479,3993,No
126,CA-2014-104178,Standard Class,JM-15265,FUR-FU-10000771-0,0.0,1,6.28,2.6376,3834,No
127,CA-2014-104178,Standard Class,JM-15265,OFF-PA-10004983-0,0.0,4,25.92,12.4416,3834,No
128,CA-2014-104178,Standard Class,JM-15265,OFF-ST-10004258-0,0.0,4,48.84,13.1868,3834,No
129,CA-2014-104178,Standard Class,JM-15265,TEC-AC-10002399-0,0.0,5,95.1,30.432,3834,No
130,CA-2014-104269,Second Class,DB-13060,FUR-CH-10004063-0,0.2,2,457.568,51.4764,4011,No
131,CA-2014-104283,Standard Class,LM-17065,FUR-TA-10001039-0,0.0,1,85.98,22.3548,3893,No
132,CA-2014-104283,Standard Class,LM-17065,OFF-ST-10004337-0,0.0,5,306.2,0.0,3893,No
133,CA-2014-104283,Standard Class,LM-17065,TEC-AC-10000109-0,0.0,4,223.96,53.7504,3893,No
134,CA-2014-104402,Standard Class,DB-13660,TEC-MA-10000423-0,0.0,3,65.97,31.0059,3903,No
135,CA-2014-104472,Standard Class,CK-12325,FUR-FU-10000246-0,0.0,6,73.32,21.996,3918,No
136,CA-2014-104472,Standard Class,CK-12325,OFF-BI-10001658-0,0.2,3,59.808,19.4376,3918,No
137,CA-2014-104563,Standard Class,CM-12715,FUR-CH-10002780-0,0.2,6,436.704,21.8352,4005,No
138,CA-2014-104563,Standard Class,CM-12715,FUR-CH-10004495-0,0.2,2,481.568,54.1764,4005,No
139,CA-2014-104563,Standard Class,CM-12715,OFF-AR-10000390-0,0.0,5,20.65,9.499,4005,No
140,CA-2014-104563,Standard Class,CM-12715,OFF-ST-10000934-0,0.0,5,204.9,0.0,4005,No
141,CA-2014-104738,Second Class,SP-20620,OFF-BI-10002160-0,0.8,3,2.286,-3.6576,3707,No
142,CA-2014-104738,Second Class,SP-20620,OFF-EN-10004955-0,0.2,3,12.984,4.7067,3707,No
143,CA-2014-104738,Second Class,SP-20620,TEC-AC-10003628-0,0.2,2,47.984,14.3952,3707,No
144,CA-2014-104738,Second Class,SP-20620,TEC-PH-10000576-0,0.2,3,328.776,28.7679,3707,No
145,CA-2014-104738,Second Class,SP-20620,TEC-PH-10002468-0,0.2,2,217.584,19.0386,3707,No
146,CA-2014-104773,Standard Class,TB-21175,OFF-ST-10000777-0,0.2,2,60.416,6.0416,3729,No
147,CA-2014-104780,Standard Class,BT-11530,OFF-AR-10003514-0,0.0,8,31.84,10.5072,3930,No
148,CA-2014-104808,Second Class,MH-17440,OFF-BI-10003676-0,0.2,2,17.248,6.0368,4036,No
149,CA-2014-104829,Second Class,JG-15805,OFF-PA-10003016-0,0.0,7,21.98,9.891,3749,Yes
150,CA-2014-104976,Standard Class,CK-12760,OFF-PA-10003845-0,0.0,6,34.68,16.9932,3728,No
151,CA-2014-105165,First Class,SZ-20035,FUR-TA-10004154-0,0.3,1,200.795,-22.948,3821,No
152,CA-2014-105165,First Class,SZ-20035,OFF-AR-10003179-0,0.2,3,21.864,3.5529,3821,No
153,CA-2014-105165,First Class,SZ-20035,OFF-BI-10000050-0,0.8,2,2.92,-4.818,3821,No
154,CA-2014-105165,First Class,SZ-20035,TEC-AC-10002718-0,0.2,4,46.688,-2.918,3821,No
155,CA-2014-105165,First Class,SZ-20035,TEC-PH-10000675-0,0.2,3,196.776,14.7582,3821,No
156,CA-2014-105172,Standard Class,PK-18910,OFF-LA-10001641-0,0.0,6,18.9,9.072,3977,No
157,CA-2014-105249,Same Day,DH-13675,FUR-BO-10000330-0,0.15,4,411.332,-4.8392,3739,No
158,CA-2014-105249,Same Day,DH-13675,OFF-LA-10002043-0,0.0,4,41.4,19.872,3739,No
159,CA-2014-105249,Same Day,DH-13675,OFF-SU-10001225-0,0.0,2,7.36,0.1472,3739,No
160,CA-2014-105270,Standard Class,AP-10915,FUR-CH-10000988-0,0.2,1,112.648,11.2648,3756,Yes
161,CA-2014-105270,Standard Class,AP-10915,OFF-AR-10003156-0,0.0,3,30.48,7.9248,3756,Yes
162,CA-2014-105340,First Class,EH-14185,OFF-BI-10001765-0,0.8,1,6.928,-11.0848,3745,No
163,CA-2014-105417,Standard Class,VS-21820,FUR-FU-10004864-0,0.6,3,76.728,-53.7096,4064,No
164,CA-2014-105417,Standard Class,VS-21820,OFF-BI-10003708-0,0.8,7,10.43,-18.2525,4064,No
165,CA-2014-105648,Standard Class,EJ-14155,FUR-TA-10002958-0,0.2,3,626.352,-23.4882,4009,No
166,CA-2014-105872,Standard Class,JG-15160,OFF-BI-10003684-0,0.2,4,70.368,26.388,3921,No
167,CA-2014-105893,Standard Class,PK-19075,OFF-ST-10004186-0,0.0,6,665.88,13.3176,3756,No
168,CA-2014-105984,Same Day,MY-18295,FUR-CH-10000847-0,0.3,3,611.058,-34.9176,3743,No
169,CA-2014-105984,Same Day,MY-18295,TEC-PH-10000560-0,0.4,5,1049.97,-209.994,3743,No
170,CA-2014-106054,First Class,JO-15145,OFF-AR-10002399-0,0.0,3,12.78,5.2398,4065,No
171,CA-2014-106229,Second Class,NR-18550,FUR-TA-10002041-0,0.5,3,268.935,-209.7693,3913,No
172,CA-2014-106264,Standard Class,CK-12595,FUR-FU-10001852-0,0.0,2,3.48,1.1136,3711,No
173,CA-2014-106264,Standard Class,CK-12595,OFF-SU-10002189-0,0.0,3,11.91,0.1191,3711,No
174,CA-2014-106376,Standard Class,BS-11590,OFF-AR-10002671-0,0.2,8,1113.024,111.3024,3732,No
175,CA-2014-106376,Standard Class,BS-11590,TEC-PH-10002726-0,0.2,4,167.968,62.988,3732,No
176,CA-2014-106439,Standard Class,GG-14650,FUR-CH-10003833-0,0.2,3,146.352,-9.147,3767,No
177,CA-2014-106439,Standard Class,GG-14650,OFF-AR-10001419-0,0.0,3,12.39,3.717,3767,No
178,CA-2014-106439,Standard Class,GG-14650,OFF-BI-10002571-0,0.2,2,15.968,5.3892,3767,No
179,CA-2014-106439,Standard Class,GG-14650,OFF-BI-10004209-0,0.2,3,19.296,6.03,3767,No
180,CA-2014-106439,Standard Class,GG-14650,OFF-FA-10002975-0,0.0,3,11.34,5.2164,3767,No
181,CA-2014-106439,Standard Class,GG-14650,OFF-PA-10000477-0,0.0,13,64.74,30.4278,3767,No
182,CA-2014-106439,Standard Class,GG-14650,OFF-ST-10001963-0,0.0,4,405.64,12.1692,3767,No
183,CA-2014-106439,Standard Class,GG-14650,OFF-ST-10003996-0,0.0,5,80.3,20.878,3767,No
184,CA-2014-106439,Standard Class,GG-14650,TEC-AC-10004568-0,0.0,9,251.91,47.8629,3767,No
185,CA-2014-106572,Standard Class,NP-18700,OFF-ST-10000585-0,0.2,2,264.32,19.824,3823,No
186,CA-2014-106719,Same Day,RB-19645,OFF-BI-10002799-0,0.2,2,8.288,2.6936,3835,No
187,CA-2014-106726,First Class,RS-19765,OFF-ST-10001496-0,0.0,7,1261.33,327.9458,3731,No
188,CA-2014-106803,Standard Class,DC-13285,OFF-ST-10002444-0,0.0,2,24.56,6.8768,3708,No
189,CA-2014-106803,Standard Class,DC-13285,TEC-AC-10001267-0,0.0,4,119.8,47.92,3708,No
190,CA-2014-106810,Standard Class,AJ-10795,FUR-FU-10004306-0,0.2,2,310.88,23.316,3937,No
191,CA-2014-106971,Standard Class,BM-11785,TEC-AC-10000844-0,0.2,7,475.944,95.1888,3826,No
192,CA-2014-107139,Standard Class,DP-13390,OFF-BI-10001670-0,0.2,6,180.96,67.86,3885,No
193,CA-2014-107153,Standard Class,GZ-14545,OFF-ST-10001321-0,0.0,3,46.26,12.4902,3800,No
194,CA-2014-107181,Standard Class,DB-13270,OFF-BI-10004230-0,0.2,3,82.896,29.0136,4036,No
195,CA-2014-107181,Standard Class,DB-13270,OFF-PA-10000350-0,0.0,4,34.24,16.0928,4036,No
196,CA-2014-107398,Standard Class,BS-11590,OFF-BI-10001982-0,0.7,4,6.528,-4.5696,3834,No
197,CA-2014-107398,Standard Class,BS-11590,OFF-BI-10002103-0,0.7,8,20.856,-16.6848,3834,No
198,CA-2014-107398,Standard Class,BS-11590,OFF-BI-10004141-0,0.7,3,2.862,-2.2896,3834,No
199,CA-2014-107454,Standard Class,RD-19720,FUR-FU-10004018-0,0.0,6,89.34,24.1218,3765,No
200,CA-2014-107454,Standard Class,RD-19720,OFF-LA-10001569-0,0.0,7,34.86,16.0356,3765,No
201,CA-2014-107524,Standard Class,KN-16705,OFF-EN-10001990-0,0.0,2,11.36,5.3392,4010,No
202,CA-2014-107524,Standard Class,KN-16705,OFF-PA-10000587-0,0.0,5,36.4,17.472,4010,No
203,CA-2014-107573,Standard Class,PB-19150,OFF-EN-10001099-0,0.2,3,23.472,7.6284,3725,No
204,CA-2014-107594,Standard Class,EH-13945,OFF-AR-10000716-0,0.0,1,5.58,2.1762,3888,No
205,CA-2014-107594,Standard Class,EH-13945,TEC-PH-10002923-0,0.0,2,73.98,19.9746,3888,No
206,CA-2014-107706,Second Class,ST-20530,OFF-PA-10000466-0,0.2,3,16.176,6.066,4026,No
207,CA-2014-107755,Standard Class,CK-12760,TEC-AC-10000710-0,0.0,7,115.36,49.6048,4033,No
208,CA-2014-107769,Standard Class,BT-11395,TEC-PH-10001336-0,0.0,2,257.98,74.8142,3770,No
209,CA-2014-107811,Standard Class,LA-16780,FUR-CH-10001394-0,0.2,2,561.584,70.198,3952,No
210,CA-2014-107811,Standard Class,LA-16780,OFF-ST-10000798-0,0.2,5,99.92,-1.249,3952,No
211,CA-2014-107818,Standard Class,MC-17275,FUR-CH-10000454-0,0.2,5,975.92,121.99,3820,No
212,CA-2014-107818,Standard Class,MC-17275,OFF-AR-10000380-0,0.0,8,303.84,91.152,3820,No
213,CA-2014-107818,Standard Class,MC-17275,OFF-AR-10003045-0,0.0,2,5.88,2.646,3820,No
214,CA-2014-107818,Standard Class,MC-17275,OFF-ST-10000736-0,0.0,6,485.88,19.4352,3820,No
215,CA-2014-107916,First Class,JP-15460,FUR-FU-10004586-0,0.0,2,13.28,6.3744,3835,No
216,CA-2014-107916,First Class,JP-15460,OFF-BI-10001116-0,0.2,3,12.672,4.4352,3835,No
217,CA-2014-108147,Standard Class,RD-19480,OFF-BI-10003876-0,0.2,2,68.48,25.68,3912,No
218,CA-2014-108147,Standard Class,RD-19480,OFF-ST-10003470-0,0.0,6,1676.88,83.844,3912,No
219,CA-2014-108182,Second Class,DL-13315,OFF-BI-10001196-0,0.8,2,8.952,-14.7708,4034,No
220,CA-2014-108189,First Class,ES-14080,OFF-EN-10004846-0,0.2,6,12.768,4.6284,3796,No
221,CA-2014-108189,First Class,ES-14080,OFF-FA-10000735-0,0.2,2,4.672,1.46,3796,No
222,CA-2014-108189,First Class,ES-14080,OFF-PA-10001838-0,0.2,2,9.408,3.4104,3796,No
223,CA-2014-108189,First Class,ES-14080,OFF-SU-10003567-0,0.2,2,15.36,-3.264,3796,No
224,CA-2014-108189,First Class,ES-14080,TEC-AC-10003038-0,0.2,1,7.16,-0.0895,3796,No
225,CA-2014-108189,First Class,ES-14080,TEC-PH-10001557-0,0.2,3,230.376,20.1579,3796,No
226,CA-2014-108189,First Class,ES-14080,TEC-PH-10001760-0,0.2,2,318.4,107.46,3796,No
227,CA-2014-108273,Standard Class,EJ-13720,FUR-FU-10002116-0,0.6,2,56.568,-74.9526,3721,No
228,CA-2014-108273,Standard Class,EJ-13720,OFF-PA-10000029-0,0.2,7,36.288,12.7008,3721,No
229,CA-2014-108609,Second Class,AJ-10780,FUR-TA-10003954-0,0.4,8,1421.664,-734.5264,3767,Yes
230,CA-2014-108707,Standard Class,DB-12910,OFF-PA-10000788-0,0.2,2,10.368,3.6288,3774,No
231,CA-2014-108861,Standard Class,MM-17260,OFF-BI-10003876-0,0.2,4,136.96,51.36,3923,Yes
232,CA-2014-108903,Same Day,DO-13435,OFF-AR-10004010-0,0.2,2,55.984,4.1988,3795,No
233,CA-2014-108903,Same Day,DO-13435,OFF-EN-10004030-0,0.2,5,14.48,4.887,3795,No
234,CA-2014-108903,Same Day,DO-13435,TEC-AC-10003023-0,0.2,3,142.488,-3.5622,3795,No
235,CA-2014-109043,First Class,CS-12355,OFF-AP-10004708-0,0.2,5,152.24,17.127,3844,No
236,CA-2014-109043,First Class,CS-12355,OFF-PA-10000312-0,0.2,5,91.36,29.692,3844,No
237,CA-2014-109127,Standard Class,JC-15775,OFF-LA-10004409-0,0.0,6,17.28,7.9488,3716,No
238,CA-2014-109134,Standard Class,DE-13255,FUR-FU-10000320-0,0.0,6,20.04,8.8176,3762,No
239,CA-2014-109218,Second Class,AR-10825,OFF-AR-10001374-0,0.0,5,32.4,10.368,3890,No
240,CA-2014-109232,Second Class,ND-18370,FUR-CH-10000422-0,0.0,6,545.94,87.3504,4058,No
241,CA-2014-109302,Standard Class,CS-12175,OFF-BI-10002854-0,0.0,7,196.21,98.105,3847,No
242,CA-2014-109491,Standard Class,LC-16930,FUR-FU-10000221-0,0.0,4,20.32,6.9088,4020,No
243,CA-2014-109491,Standard Class,LC-16930,TEC-AC-10001284-0,0.0,3,62.31,22.4316,4020,No
244,CA-2014-109680,First Class,VP-21760,OFF-ST-10001932-0,0.0,2,386.34,54.0876,3792,No
245,CA-2014-109855,Standard Class,LH-16900,OFF-BI-10004716-0,0.2,2,23.744,8.3104,3827,No
246,CA-2014-109855,Standard Class,LH-16900,TEC-AC-10002842-0,0.0,3,357.0,57.12,3827,No
247,CA-2014-109890,Standard Class,PG-18820,TEC-PH-10004100-0,0.0,2,35.98,10.0744,3869,No
248,CA-2014-109897,Standard Class,BW-11200,FUR-FU-10002878-0,0.0,3,85.44,31.6128,3847,No
249,CA-2014-109897,Standard Class,BW-11200,TEC-PH-10003691-0,0.2,8,806.336,50.396,3847,No
